source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude,coeff,price_area,fire,pool,furnish,kitchen,status
8917045,FALSE,APARTMENT,380000,4130,95,2,True,False,0,True,0,False,False,0,95,AS_NEW,False,5.5948689,50.575043,2,3347.3684210526,0,0,0,5000,57000
8429809,FALSE,APARTMENT,3297000,1050,305,3,True,False,0,True,166,False,False,0,305,AS_NEW,False,4.3599282,50.8372668,2,6389.3842887474,0,0,0,5000,282600
8881470,FALSE,APARTMENT,168000,8400,75,2,True,False,0,False,0,False,False,0,5,GOOD,False,2.9090583,51.2247877,2,2173.3333333333,0,0,0,5000,0
8954700,FALSE,FLAT_STUDIO,175000,1070,58,0,True,False,0,True,6,False,False,0,2,AS_NEW,False,4.2953637,50.8464219,2,2056.25,0,0,0,5000,38400
8950912,FALSE,APARTMENT,175000,5000,85,2,True,False,0,False,0,False,False,0,85,GOOD,False,4.8624755,50.4664393,2,2000,0,0,0,5000,0
8953977,FALSE,APARTMENT,189000,1210,80,2,True,False,0,False,0,False,False,0,80,TO_RENOVATE,False,4.3720973,50.8551287,2,2600,0,0,0,5000,-24000
8954699,FALSE,APARTMENT,214000,1070,66,1,True,False,0,True,6,False,False,0,2,AS_NEW,False,4.2953637,50.8464219,2,2302.7777777778,0,0,0,5000,43200
8752088,FALSE,APARTMENT,225000,2650,62,1,True,False,0,False,0,False,False,0,62,,True,4.4260564,51.1723618,2,3467.7419354839,5000,0,0,5000,0
8915559,FALSE,APARTMENT,241000,1000,75,1,True,False,0,True,9,False,False,0,75,AS_NEW,False,4.3491892,50.8648307,2,2209.5238095238,0,0,0,5000,50400
8954696,FALSE,APARTMENT,264000,1070,97,2,True,False,0,True,7,False,False,0,2,AS_NEW,False,4.2953637,50.8464219,2,1890.3846153846,0,0,0,5000,62400
8952771,FALSE,PENTHOUSE,304000,1070,86,2,True,False,0,True,64,False,False,0,2,AS_NEW,False,4.2953637,50.8464219,2,1393.3333333333,0,0,0,5000,90000
8953945,FALSE,APARTMENT,385000,8450,237,5,True,False,0,False,0,False,False,0,237,GOOD,False,2.9638081,51.2456875,2,1603.3755274262,0,0,0,5000,0
8924603,FALSE,APARTMENT,480000,1150,160,5,False,False,0,False,0,False,False,0,160,GOOD,False,4.4061718,50.8381573,2,3000,0,0,0,0,0
8919729,FALSE,APARTMENT,635000,1180,182,4,True,False,0,False,0,False,False,0,182,JUST_RENOVATED,True,4.3460662,50.8085949,2,3134.0659340659,5000,0,0,5000,54600
8848732,FALSE,APARTMENT,850000,8670,114,2,True,False,0,True,76,False,False,0,114,,True,2.6614796,51.126034,2,4421.052631579,5000,0,0,5000,0
